f,f_id,hours,hum,tem
2018-01-01 01:00:00,14859,5,74.6,10.6
2018-01-01 02:00:00,14904,2,51.5,15.7
2018-01-01 03:00:00,14905,3,45.4,17.5
2018-01-01 04:00:00,14906,4,41.8,18.9
2018-01-01 05:00:00,14907,5,38.8,20.1
2018-01-01 06:00:00,14908,6,39.5,19.9
2018-01-01 07:00:00,14909,7,40.0,20.1
2018-01-01 08:00:00,14910,8,41.6,19.7
2018-01-01 09:00:00,14911,9,46.5,18.4
2018-01-01 10:00:00,14912,10,54.1,16.4
2018-01-01 11:00:00,14913,11,59.2,14.8
2018-01-01 12:00:00,14860,6,75.6,10.1
2018-01-01 13:00:00,14914,12,62.8,13.9
2018-01-01 14:00:00,14951,1,71.6,12.9
2018-01-01 15:00:00,14952,2,74.8,12.2
2018-01-01 16:00:00,14953,3,76.0,11.8
2018-01-01 17:00:00,14861,7,77.1,9.7
2018-01-01 18:00:00,14862,8,78.4,9.4
2018-01-01 19:00:00,14863,9,79.8,9.1
2018-01-01 20:00:00,14864,10,78.8,9.0
2018-01-01 21:00:00,14865,11,77.8,9.1
2018-01-01 22:00:00,14866,12,79.6,9.1
2018-01-01 23:00:00,14903,1,59.1,13.9
2018-01-02 00:00:00,15722,4,50.2,5.5
2018-01-02 01:00:00,15723,5,48.7,5.1
2018-01-02 02:00:00,15768,2,30.4,7.3
2018-01-02 03:00:00,15769,3,25.6,9.4
2018-01-02 04:00:00,15770,4,23.0,11.1
2018-01-02 05:00:00,15771,5,20.2,12.4
2018-01-02 06:00:00,15772,6,19.5,13.4
2018-01-02 07:00:00,15773,7,17.1,14.1
2018-01-02 08:00:00,15774,8,15.4,13.8
2018-01-02 09:00:00,15775,9,17.2,13.1
2018-01-02 10:00:00,15776,10,23.4,11.0
2018-01-02 11:00:00,15777,11,35.2,8.6
2018-01-02 12:00:00,15724,6,47.3,4.6
2018-01-02 13:00:00,15778,12,45.8,7.4
2018-01-02 14:00:00,15815,1,39.2,6.9
2018-01-02 15:00:00,15816,2,41.7,6.3
2018-01-02 16:00:00,15817,3,44.0,5.5
2018-01-02 17:00:00,15725,7,46.8,4.2
2018-01-02 18:00:00,15726,8,45.6,4.0
2018-01-02 19:00:00,15727,9,45.0,3.6
2018-01-02 20:00:00,15728,10,46.5,3.5
2018-01-02 21:00:00,15729,11,48.9,3.5
2018-01-02 22:00:00,15730,12,47.0,4.4
2018-01-02 23:00:00,15767,1,39.3,5.4
2018-01-03 00:00:00,15818,4,48.7,4.5
2018-01-03 01:00:00,15819,5,51.7,3.8
2018-01-03 02:00:00,15864,2,30.9,8.8
2018-01-03 03:00:00,15865,3,25.2,10.8
2018-01-03 04:00:00,15866,4,22.1,12.3
2018-01-03 05:00:00,15867,5,19.7,13.4
2018-01-03 06:00:00,15868,6,18.6,14.4
2018-01-03 07:00:00,15869,7,17.8,14.0
2018-01-03 08:00:00,15870,8,16.3,13.9
2018-01-03 09:00:00,15871,9,17.9,13.5
2018-01-03 10:00:00,15872,10,25.1,11.2
2018-01-03 11:00:00,15873,11,35.2,8.9
2018-01-03 12:00:00,15820,6,54.5,3.4
2018-01-03 13:00:00,15874,12,46.1,7.5
2018-01-03 14:00:00,15911,1,41.7,6.3
2018-01-03 15:00:00,15912,2,45.5,5.4
2018-01-03 16:00:00,15913,3,48.9,4.4
2018-01-03 17:00:00,15821,7,55.6,2.9
2018-01-03 18:00:00,15822,8,58.3,2.4
2018-01-03 19:00:00,15823,9,60.7,1.9
2018-01-03 20:00:00,15824,10,62.8,1.5
2018-01-03 21:00:00,15825,11,65.6,1.0
2018-01-03 22:00:00,15826,12,54.7,3.7
2018-01-03 23:00:00,15863,1,40.4,7.1
2018-01-04 00:00:00,15914,4,54.7,3.2
2018-01-04 01:00:00,15915,5,59.8,2.4
2018-01-04 02:00:00,15960,2,34.1,8.1
2018-01-04 03:00:00,15961,3,27.8,10.3
2018-01-04 04:00:00,15962,4,24.6,11.9
2018-01-04 05:00:00,15963,5,21.8,13.4
2018-01-04 06:00:00,15964,6,21.0,13.6
2018-01-04 07:00:00,15965,7,19.4,14.2
2018-01-04 08:00:00,15966,8,18.0,14.1
2018-01-04 09:00:00,15967,9,20.0,13.5
2018-01-04 10:00:00,15968,10,27.9,11.1
2018-01-04 11:00:00,15969,11,37.7,8.6
2018-01-04 12:00:00,15916,6,63.2,2.0
2018-01-04 13:00:00,15970,12,50.8,6.8
2018-01-04 14:00:00,16007,1,63.3,4.9
2018-01-04 15:00:00,16008,2,66.7,4.3
2018-01-04 16:00:00,16009,3,67.5,3.9
2018-01-04 17:00:00,15917,7,63.9,1.7
2018-01-04 18:00:00,15918,8,67.1,1.2
2018-01-04 19:00:00,15919,9,70.4,0.8
2018-01-04 20:00:00,15920,10,74.3,0.5
2018-01-04 21:00:00,15921,11,78.4,-0.1
2018-01-04 22:00:00,15922,12,64.6,2.7
2018-01-04 23:00:00,15959,1,46.4,6.1
2018-01-05 00:00:00,16010,4,67.8,3.6
2018-01-05 01:00:00,16011,5,67.8,3.4
2018-01-05 02:00:00,16056,2,45.5,6.9
2018-01-05 03:00:00,16057,3,37.7,9.1
2018-01-05 04:00:00,16058,4,32.7,10.9
2018-01-05 05:00:00,16059,5,29.3,12.5
2018-01-05 06:00:00,16060,6,26.9,13.8
2018-01-05 07:00:00,16061,7,24.9,14.7
2018-01-05 08:00:00,16062,8,24.7,14.7
2018-01-05 09:00:00,16063,9,27.5,14.2
2018-01-05 10:00:00,16064,10,36.1,11.9
2018-01-05 11:00:00,16065,11,45.3,9.9
2018-01-05 12:00:00,16012,6,67.9,3.2
2018-01-05 13:00:00,16066,12,60.4,7.9
2018-01-05 14:00:00,16103,1,71.3,6.4
2018-01-05 15:00:00,16104,2,73.9,6.0
2018-01-05 16:00:00,16105,3,74.6,5.7
2018-01-05 17:00:00,16013,7,70.3,2.8
2018-01-05 18:00:00,16014,8,71.7,2.6
2018-01-05 19:00:00,16015,9,74.0,2.3
2018-01-05 20:00:00,16016,10,75.1,2.4
2018-01-05 21:00:00,16017,11,76.2,2.6
2018-01-05 22:00:00,16018,12,72.8,3.3
2018-01-05 23:00:00,16055,1,60.9,4.5
2018-01-06 00:00:00,16106,4,74.4,5.7
2018-01-06 01:00:00,16107,5,74.7,5.5
2018-01-06 02:00:00,16152,2,49.4,11.9
2018-01-06 03:00:00,16153,3,43.4,14.0
2018-01-06 04:00:00,16154,4,39.7,15.3
2018-01-06 05:00:00,16155,5,37.1,16.4
2018-01-06 06:00:00,16156,6,35.4,17.4
2018-01-06 07:00:00,16157,7,39.8,17.0
2018-01-06 08:00:00,16158,8,44.9,16.4
2018-01-06 09:00:00,16159,9,52.3,15.3
2018-01-06 10:00:00,16160,10,58.0,13.7
2018-01-06 11:00:00,16161,11,61.6,12.5
2018-01-06 12:00:00,16108,6,75.1,5.3
2018-01-06 13:00:00,16162,12,64.1,11.5
2018-01-06 14:00:00,16199,1,68.5,10.7
2018-01-06 15:00:00,16200,2,70.0,10.4
2018-01-06 16:00:00,16201,3,70.5,10.1
2018-01-06 17:00:00,16109,7,76.7,5.0
2018-01-06 18:00:00,16110,8,77.2,5.0
2018-01-06 19:00:00,16111,9,78.5,4.9
2018-01-06 20:00:00,16112,10,78.1,5.0
2018-01-06 21:00:00,16113,11,77.7,5.3
2018-01-06 22:00:00,16114,12,73.8,6.1
2018-01-06 23:00:00,16151,1,57.5,9.7
2018-01-07 00:00:00,16202,4,72.1,9.7
2018-01-07 01:00:00,16203,5,72.9,9.4
2018-01-07 02:00:00,16248,2,68.7,11.3
2018-01-07 03:00:00,16249,3,60.6,13.7
2018-01-07 04:00:00,16250,4,55.4,15.3
2018-01-07 05:00:00,16251,5,51.6,16.7
2018-01-07 06:00:00,16252,6,49.2,17.8
2018-01-07 07:00:00,16253,7,46.6,19.7
2018-01-07 08:00:00,16254,8,50.6,19.2
2018-01-07 09:00:00,16255,9,57.6,18.2
2018-01-07 10:00:00,16256,10,63.7,16.3
2018-01-07 11:00:00,16257,11,67.9,14.8
2018-01-07 12:00:00,16204,6,73.9,9.1
2018-01-07 13:00:00,16258,12,74.2,13.0
2018-01-07 14:00:00,16295,1,73.6,12.7
2018-01-07 15:00:00,16296,2,77.0,11.9
2018-01-07 16:00:00,16297,3,79.8,11.2
2018-01-07 17:00:00,16205,7,75.6,8.8
2018-01-07 18:00:00,16206,8,76.7,8.7
2018-01-07 19:00:00,16207,9,78.2,8.4
2018-01-07 20:00:00,16208,10,79.2,8.5
2018-01-07 21:00:00,16209,11,80.0,8.6
2018-01-07 22:00:00,16210,12,78.9,9.2
2018-01-07 23:00:00,16247,1,79.7,8.7
2018-01-08 00:00:00,16298,4,86.6,10.0
2018-01-08 01:00:00,16299,5,87.2,9.7
2018-01-08 02:00:00,16344,2,73.4,13.2
2018-01-08 03:00:00,16345,3,63.7,15.7
2018-01-08 04:00:00,16346,4,57.4,17.3
2018-01-08 05:00:00,16347,5,52.5,18.7
2018-01-08 06:00:00,16348,6,49.1,19.7
2018-01-08 07:00:00,16349,7,46.1,21.6
2018-01-08 08:00:00,16350,8,49.4,21.1
2018-01-08 09:00:00,16351,9,56.1,20.0
2018-01-08 10:00:00,16352,10,61.8,17.9
2018-01-08 11:00:00,16353,11,65.6,16.2
2018-01-08 12:00:00,16300,6,88.1,9.4
2018-01-08 13:00:00,16354,12,71.2,14.3
2018-01-08 14:00:00,16391,1,67.9,14.1
2018-01-08 15:00:00,16392,2,70.0,13.3
2018-01-08 16:00:00,16393,3,73.9,12.6
2018-01-08 17:00:00,16301,7,88.7,9.2
