,f,machine_is_work,machine_factory,machine_worktime,machine_worktime_energy,MEASURE_TEM,MEASURE_HUM,F_FUTURETIME,HOURS,f_id,FORECAST_TEM,FORECAST_HUM,AIM_TEM,AIM_HUM
0,2018-01-01 01:00:00,,,,,11.8,70.0,,,,,,,
2,2018-01-01 02:00:00,,,,,11.5,71.0,,,,,,,
4,2018-01-01 03:00:00,,,,,11.4,73.0,,,,,,,
6,2018-01-01 04:00:00,,,,,11.2,75.0,,,,,,,
8,2018-01-01 05:00:00,,,,,10.5,78.0,,,,,,,
10,2018-01-01 06:00:00,,,,,10.3,80.0,,,,,,,
12,2018-01-01 07:00:00,,,,,9.5,84.0,,,,,,,
14,2018-01-01 08:00:00,,,,,10.0,82.0,,,,,,,
16,2018-01-01 09:00:00,1.0,242 241,0.15,,12.5,70.0,,,,,,21.433000000000000,
18,2018-01-01 10:00:00,1.0,242 241 243,0.7666666666666670,,14.4,60.0,,,,,,21.2449,49.0958
20,2018-01-01 11:00:00,1.0,242 243,1.7666666666666700,,15.7,55.0,,,,,,21.5668,
22,2018-01-01 12:00:00,1.0,243,2.7666666666666700,,17.2,52.0,,,,,,21.8128,46.8714
24,2018-01-01 13:00:00,1.0,242 243,3.7666666666666700,,17.4,53.0,,,,,,22.3336,49.8915
26,2018-01-01 14:00:00,1.0,242 243,0.6833333333333330,,19.2,48.0,,,,,,23.5308,62.2504
28,2018-01-01 15:00:00,1.0,243,1.6833333333333300,,19.5,47.0,,,,,,24.3736,53.0671
30,2018-01-01 16:00:00,1.0,243,2.683333333333330,,19.6,49.0,,,,,,24.3012,46.9473
32,2018-01-01 17:00:00,,,,,19.0,50.0,,,,,,24.2904,47.8733
34,2018-01-01 18:00:00,,,,,18.2,56.0,,,,,,24.1493,48.8571
36,2018-01-01 19:00:00,,,,,17.6,55.0,,,,,,23.8708,50.2966
38,2018-01-01 20:00:00,,,,,16.5,65.0,,,,,,23.6827,52.2172
40,2018-01-01 21:00:00,,,,,16.0,67.0,,,,,,23.3572,49.5985
42,2018-01-01 22:00:00,,,,,15.2,67.0,,,,,,22.6374,46.8099
44,2018-01-01 23:00:00,,,,,14.3,68.0,,,,,,22.1528,45.1425
46,2018-01-02 00:00:00,,,,,14.0,66.0,,,,,,22.7098,45.8369
48,2018-01-02 01:00:00,,,,,13.6,69.0,,,,,,22.7857,47.6563
50,2018-01-02 02:00:00,,,,,13.2,69.0,,,,,,22.8111,48.1662
52,2018-01-02 03:00:00,,,,,13.1,71.0,,,,,,22.7749,47.9131
54,2018-01-02 04:00:00,,,,,12.9,72.0,,,,,,22.7279,47.86600000000000
56,2018-01-02 05:00:00,,,,,12.0,76.0,,,,,,22.6772,47.7828
58,2018-01-02 06:00:00,,,,,11.0,82.0,,,,,,22.623,48.253
60,2018-01-02 07:00:00,,,,,10.3,86.0,,,,,,22.5036,48.5352
62,2018-01-02 08:00:00,,,,,10.9,84.0,,,,,,22.2794,47.1318
64,2018-01-02 09:00:00,,,,,13.9,69.0,,,,,,22.3372,
66,2018-01-02 10:00:00,,,,,16.1,58.0,,,,,,22.0985,47.5767
68,2018-01-02 11:00:00,,,,,17.6,54.0,,,,,,22.4096,48.3145
70,2018-01-02 12:00:00,,,,,19.1,51.0,,,,,,22.67,48.1011
72,2018-01-02 13:00:00,,,,,20.9,47.0,,,,,,23.3572,48.0288
74,2018-01-02 14:00:00,,,,,22.0,44.0,,,,,,24.7461,49.8264
76,2018-01-02 15:00:00,,,,,22.8,43.0,,,,,,25.5056,47.3054
78,2018-01-02 16:00:00,,,,,22.3,44.0,,,,,,26.0156,46.5097
80,2018-01-02 17:00:00,,,,,21.5,48.0,,,,,,26.0156,44.6398
82,2018-01-02 18:00:00,,,,,19.6,57.0,,,,,,25.4984,48.3181
84,2018-01-02 19:00:00,,,,,17.5,66.0,,,,,,24.7316,50.0253
86,2018-01-02 20:00:00,,,,,15.9,72.0,,,,,,23.9757,50.7017
88,2018-01-02 21:00:00,,,,,15.1,76.0,,,,,,23.1402,50.9368
90,2018-01-02 22:00:00,,,,,14.4,79.0,,,,,,23.1547,49.537
92,2018-01-02 23:00:00,,,,,13.6,82.0,,,,,,23.3861,49.2875
94,2018-01-03 00:00:00,,,,,12.7,87.0,,,,,,23.2668,48.9439
96,2018-01-03 01:00:00,,,,,12.1,89.0,,,,,,23.1583,48.7956
98,2018-01-03 02:00:00,,,,,11.7,90.0,,,,,,23.0498,48.5352
100,2018-01-03 03:00:00,,,,,11.3,92.0,,,,,,23.0679,48.6545
102,2018-01-03 04:00:00,,,,,10.9,92.0,,,,,,23.01,48.4881
104,2018-01-03 05:00:00,,,,,10.8,94.0,,,,,,22.9485,48.2856
106,2018-01-03 06:00:00,,,,,10.4,93.0,,,,,,22.9015,48.0071
108,2018-01-03 07:00:00,,,,,10.2,93.0,,,,,,22.8183,47.8335
110,2018-01-03 08:00:00,,,,,10.8,92.0,,,,,,22.6013,47.7611
112,2018-01-03 09:00:00,,,,,13.5,81.0,,,,,,22.7206,48.3435
114,2018-01-03 10:00:00,,,,,16.1,69.0,,,,,,22.4855,52.2389
116,2018-01-03 11:00:00,,,,,18.4,60.0,,,,,,22.7387,52.4957
118,2018-01-03 12:00:00,,,,,20.5,53.0,,,,,,23.1402,52.2461
120,2018-01-03 13:00:00,,,,,22.1,49.0,,,,,,23.7297,52.7814
122,2018-01-03 14:00:00,,,,,23.2,45.0,,,,,,25.1114,51.67100000000000
124,2018-01-03 15:00:00,,,,,24.5,43.0,,,,,,26.0446,48.0288
126,2018-01-03 16:00:00,,,,,23.6,44.0,,,,,,26.5075,46.0431
128,2018-01-03 17:00:00,,,,,22.8,46.0,,,,,,26.5039,
130,2018-01-03 18:00:00,,,,,20.7,56.0,,,,,,26.088,49.6889
132,2018-01-03 19:00:00,,,,,19.9,60.0,,,,,,25.8709,52.3365
134,2018-01-03 20:00:00,,,,,19.2,63.0,,,,,,25.5201,50.6619
136,2018-01-03 21:00:00,,,,,17.5,71.0,,,,,,24.7642,50.8464
138,2018-01-03 22:00:00,,,,,17.0,74.0,,,,,,24.2542,53.2335
140,2018-01-03 23:00:00,,,,,17.0,73.0,,,,,,23.9214,52.1665
142,2018-01-04 00:00:00,,,,,17.4,73.0,,,,,,24.3121,51.794
144,2018-01-04 01:00:00,,,,,16.7,77.0,,,,,,24.341000000000000,52.0146
146,2018-01-04 02:00:00,,,,,15.3,83.0,,,,,,24.3012,51.9278
148,2018-01-04 03:00:00,,,,,14.5,86.0,,,,,,24.1674,51.8482
150,2018-01-04 04:00:00,,,,,13.6,89.0,,,,,,24.048000000000000,51.6746
152,2018-01-04 05:00:00,,,,,13.0,90.0,,,,,,23.9757,51.284
154,2018-01-04 06:00:00,,,,,13.1,90.0,,,,,,23.9214,50.8464
156,2018-01-04 07:00:00,,,,,13.2,88.0,,,,,,23.8382,50.6474
158,2018-01-04 08:00:00,,,,,13.3,88.0,,,,,,23.6212,50.1736
160,2018-01-04 09:00:00,,,,,14.6,83.0,,,,,,23.7117,51.0851
162,2018-01-04 10:00:00,,,,,16.4,75.0,,,,,,23.3102,52.5463
164,2018-01-04 11:00:00,,,,,18.1,67.0,,,,,,23.567000000000000,54.9877
166,2018-01-04 12:00:00,,,,,19.0,61.0,,,,,,23.7478,52.1774
168,2018-01-04 13:00:00,,,,,20.1,59.0,,,,,,23.6429,52.8574
170,2018-01-04 14:00:00,,,,,20.1,58.0,,,,,,24.3157,53.4867
172,2018-01-04 15:00:00,,,,,20.3,59.0,,,,,,24.6918,54.4307
174,2018-01-04 16:00:00,,,,,20.0,61.0,,,,,,25.021,55.1939
176,2018-01-04 17:00:00,,,,,19.3,63.0,,,,,,25.0499,
